id|user|created_at|text|lang|label|retweet_count|favorite_count
1520072527887884288|29501253|Fri Apr 29 16:08:26 +0000 2022|"It's no secret America has a gun problem – turn on the TV or open a newspaper for proof of that.

But there's more to learn about where the guns come from.

I'm working on a bill to require an annual report on gun trafficking.

Attacking trafficking is another way to save lives."|en|D|1403|8049
1519421125297639425|29501253|Wed Apr 27 21:00:00 +0000 2022|"On Yom HaShoah, we remember the horrors of the Holocaust.

We pray for the six million Jews and millions of others murdered by the Nazis and for the families devastated by one of history's greatest atrocities.

And we rededicate ourselves to a simple, sacred promise: Never again."|en|D|781|4232
1519111586090082304|29501253|Wed Apr 27 00:30:00 +0000 2022|"Here's my take on the world’s richest man buying Twitter:

He makes a great car and rocket.

But I’m concerned his personal views will stop the fight against disinformation on social media.

The problem on Twitter hasn't been too much content moderation – it's too much hate."|en|D|4893|27484
1519081052282802185|29501253|Tue Apr 26 22:28:40 +0000 2022|"Everyone deserves quality health care.

That's why I'm an original cosponsor of the Health Equity and Accountability Act, which includes large parts of my bills to root out biases and expand access to lifesaving care.

Let's make our health care system work for everyone."|en|D|456|2485
1519013773708828673|29501253|Tue Apr 26 18:01:20 +0000 2022|"There aren’t any rules in Donald Trump's GOP.

Caught in a lie? That's fine.
Advocating for a coup? Also fine.
Violating your oath of office? Commonplace.

Telling the truth, on the other hand - that’s a disqualifying offense."|en|D|4833|20736
1518623350200979456|29501253|Mon Apr 25 16:09:56 +0000 2022|"I'm glad @POTUS delivered an additional $800 million in aid to support Ukraine.

With each passing day, Putin escalates the cruelty of his assault.

So we must ensure our support for the Ukrainian people remains ironclad and ongoing.

We will not waver."|en|D|487|2840
1518277272012300289|29501253|Sun Apr 24 17:14:44 +0000 2022|"One hundred and seven years ago, the Ottoman Empire began a systematic effort to destroy the Armenian people.

Yet, through every horror, the Armenian people persevered.

So today on this solemn anniversary we speak with one voice:

We will not forget. We will never forget."|en|D|986|5285
1517971572979609603|29501253|Sat Apr 23 21:00:00 +0000 2022|"As the celebration of Passover comes to an end, I want to extend my best wishes to the Jewish community.

I hope you ate plenty of matzo balls and matzo brei – and that you and your loved ones enjoyed a meaningful holiday (and now your return to leavened bread).

Chag Sameach!"|en|D|218|2183
1517586807608725508|29501253|Fri Apr 22 19:31:04 +0000 2022|"There's no sugar-coating it: The climate crisis is here – and our planet is in trouble.

But it's not too late to act.

This Earth Day, let's recommit to pulling out all the stops to protect our planet from this existential threat.

Nothing short of a policy revolution will do."|en|D|692|3603
1517538737592356865|29501253|Fri Apr 22 16:20:04 +0000 2022|"Authoritarians don’t come to power alone.

They come to power on the backs of men like Kevin McCarthy.

Men too weak to adhere to any principle. Too hungry for power to say or do what’s right. And too cowardly to tell the truth.

We deserve better."|en|D|13048|49487
1517213476212641792|29501253|Thu Apr 21 18:47:35 +0000 2022|"What does the @GOPLeader call the time when the president of the United States was siding with Putin over his own intel agencies?

When he was withholding military aid from Ukraine to extort political favors?

When he was inciting a mob to attack the Capitol?

The good ol’ days."|en|D|2589|9902
1515706652472750081|29501253|Sun Apr 17 15:00:01 +0000 2022|"I want to wish all those who celebrate a very Happy Easter!

As we begin our long-awaited return to family gatherings, I hope you and your loved ones enjoy a day of festivity and meaningful reflection together.

Have a wonderful day!"|en|D|245|3029
1515072471229091841|29501253|Fri Apr 15 21:00:00 +0000 2022|"Tonight, Jews across the country and around the world will gather at the Seder table to begin Passover.

On this holiday, we reflect on the incredible resilience of the Jewish people – and pledge to fight the rising tide of antisemitism Jews face today.

Chag Pesach Sameach!"|en|D|468|3964
1513648909704470531|29501253|Mon Apr 11 22:43:16 +0000 2022|"Alabama passed a bill criminalizing doctors who treat trans kids.

And this legislation – targeting vulnerable children – isn’t unique.

Right now, 300 anti-LGBTQ+ bills are pending in state legislatures.

The GOP is endangering these kids for political gain.

They have no shame."|en|D|5566|18316
1513594553873453058|29501253|Mon Apr 11 19:07:17 +0000 2022|"Ghost guns allow dangerous people to buy deadly weapons with no safeguards.

I’m glad @POTUS is issuing new protections to keep us safe and taking action to end gun violence.

Next: Let’s repeal the loophole allowing gun makers and dealers to escape justice and accountability."|en|D|1621|8663
1512551185789640706|29501253|Fri Apr 08 22:01:19 +0000 2022|"Anti-vaxxers are using breakthrough cases like mine to push dangerous, unscientific lies.

So let me be clear:

I feel fine. I don't need a ventilator. My family isn't worried about whether I'll make it. Because I’m vaccinated.

Vaccines save lives. Please get yours today."|en|D|10365|58542
1512461541064458242|29501253|Fri Apr 08 16:05:06 +0000 2022|"Earlier this week, I called for Russia to be suspended from the UN Human Rights Council.

And yesterday, they were kicked out.

Russia’s war crimes against the Ukrainian people are horrifying.

The U.S. will continue to hold Russia to account for its violations of human rights."|en|D|1253|8581
1512188466683076624|29501253|Thu Apr 07 22:00:00 +0000 2022|"Putin's assault on Ukraine grows more brutal by the day.

We're seeing civilians killed by indiscriminate bombing. Cities reduced to rubble. Summary executions. Rape and torture.

We must collect and preserve evidence. And Putin must face justice.

We cannot look away."|en|D|1382|5898
1512132765478707208|29501253|Thu Apr 07 18:18:40 +0000 2022|"When @POTUS nominated Judge Ketanji Brown Jackson to the Supreme Court, he made a phenomenal choice.

And I'm thrilled such a talented jurist has received bipartisan support to become a Supreme Court justice.

America will be a fairer, more just place with her on the bench."|en|D|1183|11961
1511837141734723591|29501253|Wed Apr 06 22:43:57 +0000 2022|"Dan Scavino and Peter Navarro possess intimate knowledge of events leading up to Jan 6, yet have chosen to conceal it.

Tonight, Congress voted to hold them in contempt.

Now, the DOJ must submit the matter to a grand jury – because the American people deserve accountability."|en|D|5056|25101
